Date,Adj Close,Volume,2-days Net change,5day-moving average,5day- standard deviation,10-day moving average,10day- standard deviation,30-day moving average,30day- standard deviation,^VIX,^TNX
2005/4/11,1181.209961,1525310000,0.01001,1183.801978,4.278587852,1179.540991,6.873783079,1194.026799,14.81892383,11.98,4.445
2005/4/12,1187.76001,1979830000,6.550049,1185.075977,4.328924394,1181.780994,5.180253806,1194.3548,14.48470948,11.3,4.36
2005/4/13,1173.790039,2049740000,-13.969971,1183.019995,6.711619365,1181.018994,5.767982307,1194.2052,14.66017272,13.31,4.374
2005/4/14,1162.050049,2355040000,-11.73999,1177.202002,9.807421115,1179.165003,8.331270035,1193.658001,15.33776272,14.53,4.358
2005/4/15,1142.619995,2689960000,-19.430054,1169.486011,17.79740885,1176.134998,14.2572372,1192.646602,16.95168033,17.74,4.271
2005/4/18,1145.97998,2180670000,3.359985,1162.440015,18.9330611,1173.120996,17.1525901,1191.768401,18.18960615,16.559999,4.249
2005/4/19,1152.780029,2142700000,6.800049,1155.444018,12.6623117,1170.259998,17.98588108,1190.763401,18.92789456,14.96,4.203
2005/4/20,1137.5,2217050000,-15.280029,1148.186011,9.530929769,1165.603003,19.93615932,1189.479001,20.29851397,16.92,4.211
2005/4/21,1159.949951,2308560000,22.449951,1147.765991,8.784235022,1162.483997,17.82504491,1188.632,20.63342283,14.41,4.3
2005/4/22,1152.119995,2045880000,-7.829956,1149.665991,8.412449341,1159.576001,16.77349505,1187.8346,21.26184029,15.38,4.255
2005/4/25,1162.099976,1795030000,9.979981,1152.88999,9.645253591,1157.665002,15.03320138,1187.136399,21.52593844,14.62,4.251
2005/4/26,1151.829956,1959740000,-10.27002,1152.699976,9.657312264,1154.071997,10.71455759,1186.066997,21.92956302,14.91,4.267
2005/4/27,1156.380005,2151520000,4.550049,1156.475977,4.589857325,1152.330994,8.296120183,1185.071797,22.12822155,14.87,4.237
2005/4/28,1143.219971,2182270000,-13.160034,1153.129981,6.927154921,1150.447986,7.975824597,1183.733796,22.60029894,16.860001,4.173
2005/4/29,1156.849976,2362360000,13.630005,1154.075977,7.076115672,1151.870984,7.68825081,1182.663997,22.58115977,15.31,4.201
2005/5/2,1162.160034,1980040000,5.310058,1154.087988,7.093171863,1153.488989,8.006691749,1181.892197,22.60984763,15.12,4.194
2005/5/3,1161.170044,2167020000,-0.98999,1155.956006,7.564087862,1154.327991,8.356107256,1181.083799,22.6137873,14.53,4.186
2005/5/4,1175.650024,2306480000,14.47998,1159.81001,11.64334084,1158.142993,8.526599873,1180.913599,22.62218512,13.85,4.186
2005/5/5,1172.630005,1997100000,-3.020019,1165.692017,8.037450057,1159.410999,9.688803309,1180.550198,22.60606417,13.98,4.162
2005/5/6,1171.349976,1707200000,-1.280029,1168.592017,6.522714854,1161.333997,9.984751802,1179.973198,22.46201219,14.05,4.266
2005/5/9,1178.839966,1857020000,7.48999,1171.928003,6.674377812,1163.007996,11.42661089,1179.322598,22.0004262,13.75,4.278
2005/5/10,1166.219971,1889660000,-12.619995,1172.937988,4.74175262,1164.446997,10.74847735,1178.574998,21.79274422,14.91,4.222
2005/5/11,1171.109985,1834970000,4.890014,1172.029981,4.522193609,1165.919995,10.52715906,1177.788997,21.32480989,14.45,4.202
2005/5/12,1159.359985,1995290000,-11.75,1169.375977,7.189419539,1167.533997,7.446716876,1176.774597,20.96065333,16.120001,4.184
2005/5/13,1154.050049,2188590000,-5.309936,1165.915991,9.719579486,1167.254004,7.93001974,1175.646199,20.62565429,16.32,4.121
2005/5/16,1165.689941,1856860000,11.639892,1163.285986,6.63924401,1167.606995,7.754702206,1174.517598,19.54643317,15.68,4.125
2005/5/17,1173.800049,1887260000,8.110108,1164.802002,8.166455433,1168.869995,7.617133785,1173.487397,18.12015709,14.57,4.117
2005/5/18,1185.560059,2266320000,11.76001,1167.692017,12.41077492,1169.860999,9.097955238,1172.809998,16.96379247,13.63,4.068
2005/5/19,1191.079956,1775860000,5.519897,1174.036011,14.93695905,1171.705994,11.32103153,1172.491396,16.45018311,13.32,4.108
2005/5/20,1189.280029,1631750000,-1.799927,1181.082007,10.92202027,1173.498999,12.60539162,1172.091997,15.76776934,13.14,4.125
2005/5/23,1193.859985,1681170000,4.579956,1186.716016,7.823248497,1175.001001,14.11676232,1171.967598,15.56569399,12.95,4.072
2005/5/24,1194.069946,1681000000,0.209961,1190.769995,3.531898301,1177.785998,14.9164446,1171.712397,15.07946574,12.69,4.037
2005/5/25,1190.01001,1742180000,-4.059936,1191.659985,2.200622283,1179.676001,15.17175404,1171.557598,14.8446182,12.58,4.072
2005/5/26,1197.619995,1654110000,7.609985,1192.967993,3.39123188,1183.502002,14.27703156,1171.748599,15.12029223,12.24,4.081
2005/5/27,1198.780029,1381430000,1.160034,1194.867993,3.468807383,1187.975,10.54317127,1171.92,15.38017942,12.15,4.073
2005/5/31,1191.5,1840680000,-7.280029,1194.395996,3.786287414,1190.556006,7.068018778,1171.956999,15.4258597,13.29,4.006
2005/6/1,1202.219971,1810100000,10.719971,1196.026001,5.127562389,1193.397998,4.99031066,1172.325798,15.92659374,12.36,3.907
2005/6/2,1204.290039,1813790000,2.070068,1198.882007,4.911362207,1195.270996,5.230794062,1172.9774,16.55495931,11.84,3.89
2005/6/3,1196.02002,1627520000,-8.270019,1198.562012,5.063897353,1195.765002,5.020033821,1173.4472,16.87226551,12.15,3.979
2005/6/6,1197.51001,1547120000,1.48999,1198.308008,5.082047132,1196.588001,4.484833316,1173.968999,17.20838048,12.28,3.962
2005/6/7,1197.26001,1851370000,-0.25,1199.46001,3.585477516,1196.928003,4.382757631,1174.428599,17.52089274,12.39,3.911
2005/6/8,1194.670044,1715490000,-2.589966,1197.950025,3.71983555,1196.988013,4.343206155,1175.0148,17.70068441,12.7,3.94
2005/6/9,1200.930054,1824120000,6.26001,1197.278028,2.333216603,1198.080017,3.722206439,1175.4052,18.05630534,12.08,3.965
2005/6/10,1198.109985,1664180000,-2.820069,1197.696021,2.236715121,1198.129016,3.718701321,1175.755601,18.32694258,11.96,4.047
2005/6/13,1200.819946,1661350000,2.709961,1198.358008,2.62415476,1198.333008,3.813132498,1176.313599,18.66054297,11.65,4.086
2005/6/14,1203.910034,1698150000,3.090088,1199.688013,3.475614505,1199.574011,3.331201715,1176.869399,19.06415451,11.79,4.127
2005/6/15,1206.579956,1840440000,2.669922,1202.069995,3.250740644,1200.01001,3.944804674,1177.373198,19.51359961,11.46,4.115
2005/6/16,1210.959961,1776040000,4.380005,1204.075976,4.997036173,1200.677002,5.133629327,1177.910999,20.06469672,11.15,4.076
2005/6/17,1216.959961,2407370000,6,1207.845972,6.309143539,1202.770996,6.966479345,1178.427397,20.73323855,11.48,4.078
2005/6/20,1216.099976,1714530000,-0.859985,1210.901978,5.729067514,1204.629993,7.833060683,1179.125398,21.40506699,11.47,4.103
2005/6/21,1213.609985,1720700000,-2.489991,1212.841968,4.210613887,1206.26499,7.830162518,1179.773398,21.95287804,11.08,4.049
2005/6/22,1213.880005,1823250000,0.27002,1214.301978,2.351789935,1208.185986,6.979704056,1180.295798,22.45191843,11.05,3.945
2005/6/23,1200.72998,2029920000,-13.150025,1212.255981,6.59968191,1208.165979,7.003061963,1180.834597,22.61526443,12.13,3.959
2005/6/24,1191.569946,2418800000,-9.160034,1207.177978,10.61928987,1207.511975,8.242262199,1181.424995,22.49989527,12.18,3.914
2005/6/27,1190.689941,1738620000,-0.880005,1202.095971,11.33795208,1206.498975,9.657178396,1182.386394,21.82482011,12.52,3.902
2005/6/28,1201.569946,1772410000,10.880005,1199.687964,9.392927066,1206.264966,9.754742203,1183.498193,21.34296838,11.58,3.976
2005/6/29,1199.849976,1769280000,-1.71997,1196.881958,5.295096356,1205.591968,9.960581029,1184.439592,20.9956537,11.77,3.99
